schema,     text,       watts, milliseconds
    S1,  1Ko.txt,   45997.900,   124594.050
    S1,  3Ko.txt,  116859.970,   269590.080
    S1,  5Ko.txt,  186565.330,   399484.820
    S1,  9Ko.txt,  322999.860,   689773.890
    S1, 12Ko.txt,  644128.900,  1494942.520
    S1, 14Ko.txt,  507518.460,  1009361.530
    S1, 16Ko.txt,  578902.990,  1168855.620
    S2,  1Ko.txt,   64868.610,   244390.220
    S2,  3Ko.txt,  148778.220,   434682.230
    S2,  5Ko.txt,  228212.550,   594378.520
    S2,  9Ko.txt,  406061.260,   904964.520
    S2, 12Ko.txt,  564352.020,  1284950.090
    S2, 14Ko.txt,  615195.600,  1334749.180
    S2, 16Ko.txt,  697408.130,  1454644.810
    S3,  1Ko.txt,  512418.640,  1439844.840
    S3,  3Ko.txt,  607778.800,  1654735.320
    S3,  5Ko.txt,  674049.280,  1818830.040
    S3,  9Ko.txt,  870776.650,  2204917.370
    S3, 12Ko.txt, 1305120.880,  3084282.470
    S3, 14Ko.txt, 1103311.050,  2639799.110
    S3, 16Ko.txt, 1185981.270,  2759694.930
    S4,  1Ko.txt,  427128.800,   629775.520
    S4,  3Ko.txt,  516520.910,   799671.200
    S4,  5Ko.txt,  598004.000,   959662.610
    S4,  9Ko.txt,  757311.700,  1279651.130
    S4, 12Ko.txt,  927085.180,  1574441.390
    S4, 14Ko.txt,  990538.500,  1739534.260
    S4, 16Ko.txt, 1086927.310,  1804931.920
    S5,  1Ko.txt, 1070637.070,  2284912.600
    S5,  3Ko.txt, 1168851.310,  2504703.900
    S5,  5Ko.txt, 1248927.340,  2679898.090
    S5,  9Ko.txt, 1406299.580,  2994183.450
    S5, 12Ko.txt, 1547936.040,  3279474.820
    S5, 14Ko.txt, 1686800.690,  3444868.020
    S5, 16Ko.txt, 1764426.480,  3614661.510
