duration_seconds,cpu0_package_joules,cpu0_dram_joules,cpu1_package_joules,cpu1_dram_joules,schema,text
0.972780,94.541931,12.169819,92.795349,11.665959,S1,1Ko
0.976683,96.332947,12.217111,90.904724,11.626118,S1,1Ko
0.942367,93.412659,11.788390,87.737244,11.213125,S1,1Ko
0.951103,94.199646,11.884795,88.579407,11.298668,S1,1Ko
0.958949,94.920410,12.003997,89.320312,11.423286,S1,1Ko
2.074035,202.033264,25.954339,195.257446,24.777141,S1,1Ko
1.004140,99.110352,12.578008,93.584595,11.977345,S1,1Ko
0.967305,93.925659,12.072847,92.147217,11.558461,S1,1Ko
1.101159,108.618469,13.761784,102.415161,13.073467,S1,1Ko
0.958975,94.539062,11.975815,89.427917,11.425795,S1,1Ko
0.991828,97.804016,12.401813,92.403564,11.822448,S1,1Ko
0.991537,97.855774,12.385488,92.274475,11.805373,S1,1Ko
1.006278,99.114624,12.561514,93.596619,11.954441,S1,1Ko
0.983838,97.094666,12.294698,91.594360,11.716358,S1,1Ko
0.967838,95.620361,12.106890,90.135498,11.534410,S1,1Ko
0.983885,95.510193,12.271258,93.783752,11.750293,S1,1Ko
0.933290,90.624084,11.641648,89.119995,11.156301,S1,1Ko
1.085011,107.055908,13.550154,100.984924,12.904693,S1,1Ko
0.969522,96.046814,12.115213,90.347412,11.525949,S1,1Ko
0.975201,96.229370,12.189510,90.818970,11.624267,S1,1Ko
0.977218,96.546143,12.205315,90.884338,11.626317,S1,1Ko
0.974848,96.254578,12.171624,90.791504,11.609701,S1,1Ko
1.470144,143.043945,18.474061,139.420166,17.661968,S1,1Ko
1.058885,105.430298,13.464245,99.642273,12.796002,S1,1Ko
0.966002,93.894348,12.084246,92.048218,11.567932,S1,1Ko
0.987952,97.597656,12.351369,91.971802,11.764858,S1,1Ko
1.139303,110.804626,14.269331,108.672791,13.789079,S1,1Ko
0.934855,92.480896,11.705311,86.962708,11.112145,S1,1Ko
1.041816,102.796082,13.006025,97.050049,12.390812,S1,1Ko
0.976322,96.408813,12.187490,90.854980,11.598609,S1,1Ko
2.442886,241.583008,30.376651,227.113708,28.960146,S1,5Ko
2.392633,237.292603,29.762203,222.452698,28.332968,S1,5Ko
2.408953,238.228027,29.959664,223.981995,28.513738,S1,5Ko
2.344639,232.160889,29.159367,217.854248,27.749472,S1,5Ko
2.492923,247.106506,31.003492,231.726624,29.533988,S1,5Ko
2.474404,245.620728,30.735084,230.121460,29.262994,S1,5Ko
2.416431,240.171509,30.048649,224.611450,28.603518,S1,5Ko
2.419584,239.452759,30.069687,225.027100,28.654972,S1,5Ko
2.365158,234.693970,29.430667,219.986694,28.037097,S1,5Ko
2.333318,231.541992,29.019541,217.018616,27.619728,S1,5Ko
2.348776,233.471985,29.180542,218.347351,27.713012,S1,5Ko
2.708251,267.869385,33.683072,251.814575,31.936761,S1,5Ko
2.343641,232.313965,29.155680,217.888550,27.703022,S1,5Ko
2.398917,237.799377,29.857200,222.863892,28.348177,S1,5Ko
2.383172,236.135071,29.624931,221.629700,28.192285,S1,5Ko
2.398862,237.746521,29.811897,222.929443,28.353103,S1,5Ko
2.332840,231.409424,29.016419,216.780090,27.566591,S1,5Ko
2.350704,233.864441,29.239172,218.568787,27.839987,S1,5Ko
2.433418,241.628845,30.230092,226.168396,28.780723,S1,5Ko
2.465463,244.870728,30.639551,229.250854,29.198581,S1,5Ko
2.366563,235.078308,29.407120,219.981567,28.016396,S1,5Ko
2.399937,238.296692,29.826937,223.158508,28.455736,S1,5Ko
2.392315,236.723450,29.736866,222.502319,28.334682,S1,5Ko
2.367696,234.671082,29.438531,220.075012,27.994318,S1,5Ko
2.375051,236.695068,29.800621,221.262634,28.233488,S1,5Ko
2.437461,241.339417,30.305842,226.677795,28.808508,S1,5Ko
2.476347,245.657349,30.780219,230.290039,29.258159,S1,5Ko
2.392260,237.730591,29.759204,222.499451,28.295453,S1,5Ko
2.696208,267.266724,33.943295,252.229797,32.396664,S1,5Ko
2.410162,238.516907,29.958945,224.161316,28.499417,S1,5Ko
5.500796,546.389282,68.227305,511.148499,64.852202,S1,12Ko
5.563099,552.623657,68.956381,516.754028,65.630742,S1,12Ko
5.390922,535.034058,66.824555,500.920471,63.630176,S1,12Ko
