schema,text,process,pull,push
S1,1Ko,0.682596,0.017993,0.230422
S1,1Ko,0.69041,0.017354,0.23077
S1,1Ko,0.689789,0.017265,0.194918
S1,1Ko,0.682893,0.018802,0.210605
S1,1Ko,0.682359,0.01796,0.210253
S1,1Ko,0.687244,0.087359,1.241815
S1,1Ko,0.679799,0.017485,0.260882
S1,1Ko,0.685865,0.020087,0.215508
S1,1Ko,0.675872,0.132581,0.253098
S1,1Ko,0.675428,0.014276,0.230928
S1,1Ko,0.688,0.015325,0.243868
S1,1Ko,0.684876,0.014417,0.249528
S1,1Ko,0.683227,0.015038,0.272781
S1,1Ko,0.679873,0.014819,0.247681
S1,1Ko,0.682875,0.014499,0.230443
S1,1Ko,0.682852,0.01601,0.247319
S1,1Ko,0.674259,0.016167,0.201577
S1,1Ko,0.672648,0.141616,0.231895
S1,1Ko,0.679986,0.014682,0.23229
S1,1Ko,0.690081,0.014552,0.227604
S1,1Ko,0.676899,0.015304,0.242476
S1,1Ko,0.675316,0.014461,0.246138
S1,1Ko,0.687227,0.0162,0.727429
S1,1Ko,0.681202,0.016441,0.322895
S1,1Ko,0.685872,0.019658,0.217752
S1,1Ko,0.680373,0.015562,0.250694
S1,1Ko,0.681293,0.137489,0.221746
S1,1Ko,0.679159,0.016322,0.201357
S1,1Ko,0.679307,0.015355,0.308485
S1,1Ko,0.678871,0.014493,0.24519
S1,5Ko,2.079545,0.014775,0.304543
S1,5Ko,2.014088,0.014353,0.325122
S1,5Ko,2.07964,0.014457,0.266439
S1,5Ko,2.064212,0.014553,0.22731
S1,5Ko,2.075592,0.121255,0.24595
S1,5Ko,2.065629,0.014085,0.354067
S1,5Ko,2.062638,0.015584,0.298175
S1,5Ko,2.064423,0.014959,0.302053
S1,5Ko,2.05982,0.015055,0.250541
S1,5Ko,2.046895,0.014261,0.230696
S1,5Ko,2.059243,0.014918,0.236556
S1,5Ko,2.074762,0.014415,0.58077
S1,5Ko,2.077178,0.014148,0.208586
S1,5Ko,2.082115,0.033937,0.240255
S1,5Ko,2.08371,0.015063,0.244726
S1,5Ko,2.0516,0.014232,0.291231
S1,5Ko,2.080529,0.014855,0.194611
